Merge,State,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year,County
10872,22,4,1,2,7753,147225,2,1463.03,63,36,5,7753,1994,
10871,22,4,2,2,17175,134162,1,1333.48,65,34,7,12317,1994,
10870,22,4,1,2,5610,84994,2,1717.62,61,32,4,5610,1994,
10869,22,4,1,2,1680,130128,2,1420.01,56,37,6,1680,1994,
10867,22,4,2,1,24884,113212,1,1124.33,49,39,4,22367,1994,
10866,22,4,3,1,58612,145951,1,1417.93,42,37,1,35910,1994,
10865,22,4,6,1,32078,167703,1,1832.8,50,39,1,30024,1994,
10864,22,4,5,1,25002,128666,1,1275.29,31,40,1,1,1994,
10863,22,4,3,1,44798,139469,1,1394.14,60,36,1,10128,1994,
10862,22,4,3,1,66025,122891,1,1236.09,52,36,1,4895,1994,
10861,22,4,2,1,46637,116808,1,1234.85,76,34,1,24197,1994,
10860,22,4,6,1,134458,122891,1,1236.09,54,39,1,65413,1994,
10859,22,4,2,1,66100,126605,1,1449.98,59,44,1,59100,1994,
10858,22,4,2,1,29847,116808,1,1419.5,63,39,1,22298,1994,
10857,22,4,1,1,12843,129741,2,1296.55,71,39,4,12843,1994,
10856,22,4,2,1,83450,121498,1,1383.81,33,44,1,48225,1994,
56643,22,4,2,3,52700,116736,1,1312.79,64,44,1,34350,1994,
56645,22,4,2,1,8500,65402,1,1340.37,46,40,6,0,1994,
56644,22,4,1,3,22000,142832,2,1546.11,79,43,7,22000,1994,
56647,22,4,1,1,8505,105509,2,1063.05,78,40,4,8505,1994,
56646,22,4,1,1,8550,105509,2,1063.05,81,34,4,8550,1994,
56649,22,4,3,1,14069,106433,1,1072.35,75,33,7,7427,1994,
56651,22,4,1,1,20791,118778,2,1241.0,39,42,5,20791,1994,
56650,22,4,1,1,11400,111529,2,1113.57,66,39,7,11400,1994,
56642,22,4,5,1,50756,112182,1,1309.91,47,39,1,33500,1994,
56641,22,4,1,1,7740,98564,2,1096.95,82,40,4,7740,1994,
56640,22,4,1,1,21528,93830,2,935.66,79,39,4,21528,1994,
56639,22,4,1,3,31846,121126,2,1216.08,53,43,5,31846,1994,
20011,22,4,1,1,41259,107727,2,1044.41,40,43,6,41259,1994,
20010,22,4,1,1,72500,138506,2,1439.83,39,41,5,72500,1994,
20016,22,4,3,1,61690,127705,1,1304.79,58,37,1,32035,1994,
20015,22,4,3,1,91745,127074,1,1304.79,59,41,1,60136,1994,
20014,22,4,4,1,49500,126512,1,1232.15,37,39,1,1000,1994,
20013,22,4,2,1,68800,143303,1,1388.1,28,43,1,28750,1994,
20022,22,4,4,1,43215,71232,1,0.0,37,39,1,19515,1994,
20019,22,4,4,1,9313,103544,1,1038.14,25,39,1,3550,1994,
20021,22,4,1,2,36054,127828,2,1263.03,49,40,5,36054,1994,
20020,22,4,3,1,52381,123604,1,1198.99,69,34,4,12197,1994,
20017,22,4,2,1,99700,128201,1,1253.51,42,43,1,53350,1994,
65904,22,4,1,1,33533,119266,2,1267.23,37,39,5,33533,1994,
65903,22,4,1,1,44220,127269,2,1354.6,34,44,7,44220,1994,
65901,22,4,1,1,9594,113061,2,1144.2,79,39,4,9594,1994,
65900,22,4,3,1,89250,122878,1,1346.31,46,43,1,55350,1994,
65899,22,4,2,1,45182,135788,1,1124.35,62,39,1,45091,1994,
65898,22,4,3,1,35728,124484,1,1421.62,63,39,1,15328,1994,
65906,22,4,2,1,81000,69645,1,0.0,59,43,1,56000,1994,
65907,22,4,7,1,72962,116237,1,1183.4,49,43,4,36000,1994,
65905,22,4,1,1,38402,122878,2,1254.66,41,41,5,38402,1994,
65909,22,4,2,1,10545,181300,1,1849.68,69,38,4,6145,1994,
65908,22,4,8,1,37543,116237,1,1289.21,49,37,1,14007,1994,
65910,22,4,2,1,40000,145425,1,1498.07,61,34,1,40000,1994,
29164,22,4,5,1,42200,125027,1,1295.75,39,44,1,41100,1994,
29163,22,4,4,1,109523,119261,1,1237.27,46,46,1,76042,1994,
29162,22,4,4,1,21850,106995,1,1077.13,40,40,5,21500,1994,
29167,22,4,1,1,4380,117698,2,1176.14,79,32,4,4380,1994,
29166,22,4,4,1,56092,125294,1,1246.1,66,39,4,17500,1994,
29168,22,4,1,1,7280,124287,2,1323.19,57,39,7,7280,1994,
29158,22,4,1,2,23013,130868,2,1320.61,24,39,7,23013,1994,
29160,22,4,1,2,40086,121753,2,1281.81,32,40,7,40086,1994,
29159,22,4,4,1,56460,106995,1,1077.13,43,39,1,8250,1994,
29153,22,4,2,1,40697,106995,1,1077.13,43,44,5,29992,1994,
29154,22,4,1,1,63190,121753,2,1281.81,32,43,7,63190,1994,
38248,22,4,1,2,35055,128660,2,1327.64,36,43,7,35055,1994,
38247,22,4,3,2,51854,122744,1,1243.6,44,39,5,45254,1994,
38245,22,4,2,1,75444,121678,1,1232.82,43,39,1,22904,1994,
38249,22,4,1,1,6198,122091,2,1236.51,82,36,4,6198,1994,
38239,22,4,1,2,26950,118320,2,1246.66,27,43,7,26950,1994,
38244,22,4,3,1,38040,126163,1,1177.09,58,39,1,35020,1994,
38243,22,4,3,1,138651,127543,1,1351.17,39,44,1,86301,1994,
38236,22,4,2,1,41916,106113,1,1691.47,68,43,1,31329,1994,
38235,22,4,3,1,182218,117509,1,1177.09,55,45,1,130949,1994,
38234,22,4,2,1,89860,126163,1,1182.04,48,43,1,17275,1994,
38237,22,4,5,1,74000,110906,1,1209.17,34,43,1,70500,1994,
1192,22,4,4,2,75080,69311,1,1338.3,23,37,7,44136,1994,
1191,22,4,4,2,29976,67174,1,1284.2,27,39,1,18076,1994,
1190,22,4,2,2,32025,134344,1,1384.81,39,43,7,32025,1994,
1189,22,4,3,2,40000,134344,1,1384.81,39,40,5,40000,1994,
1188,22,4,5,2,40621,150904,1,1728.26,30,39,1,37378,1994,
1187,22,4,5,1,62118,140107,1,1497.73,59,39,1,19867,1994,
1185,22,4,4,1,41021,150904,1,1524.67,31,43,1,11,1994,
1177,22,4,4,1,274499,149942,1,1521.85,37,46,1,105750,1994,
1176,22,4,4,1,139196,140107,1,1497.73,57,44,1,82817,1994,
47459,22,4,2,2,23000,70175,1,0.0,61,32,1,23000,1994,
47454,22,4,4,1,23600,62393,1,1499.2,66,39,1,9600,1994,
47453,22,4,3,1,61120,152792,1,1521.75,43,42,1,61020,1994,
47458,22,4,1,2,23000,68548,2,0.0,51,34,5,23000,1994,
47457,22,4,3,2,53736,58536,1,1330.12,26,39,7,25036,1994,
47456,22,4,2,1,19993,118515,1,1359.57,21,38,1,11303,1994,
47455,22,4,3,2,5460,53942,2,1316.9,29,37,7,5460,1994,
47449,22,4,5,1,105658,143867,1,1444.46,38,43,1,100603,1994,
47451,22,4,4,1,67013,152792,1,1151.98,46,41,1,43000,1994,
47450,22,4,3,1,100717,123785,1,1238.01,50,39,1,39271,1994,
47448,22,4,7,1,50806,68486,1,1151.98,45,43,1,40519,1994,
47447,22,4,3,1,8160,123785,1,1234.38,45,39,6,8134,1994,
47452,22,4,4,1,81375,133657,1,1373.0,33,43,1,54325,1994,
11084,22,4,3,1,39764,135022,1,1403.78,47,39,1,36014,1994,
11102,22,4,2,1,25245,116808,1,1234.85,77,39,1,15303,1994,
11100,22,4,1,1,25560,136347,2,1359.19,64,39,4,25560,1994,
11099,22,4,5,1,37150,142431,1,1417.93,41,43,1,16100,1994,
11097,22,4,3,2,40049,135022,1,1433.23,29,31,1,19250,1994,
11096,22,4,3,1,16409,141985,1,1296.55,70,37,1,8184,1994,
11095,22,4,1,1,19240,135551,2,1404.88,39,39,5,19240,1994,
11094,22,4,1,1,13322,141985,2,1383.69,67,34,4,13322,1994,
11093,22,4,1,1,4482,135404,2,1358.67,75,34,4,4482,1994,
11092,22,4,2,1,40719,135022,1,1350.57,42,43,3,40719,1994,
11091,22,4,2,2,51023,131093,2,1383.81,34,40,7,30000,1994,
11090,22,4,3,1,81554,143245,1,1236.09,52,39,1,56122,1994,
11086,22,4,1,1,28001,143245,2,1426.02,54,39,4,28001,1994,
11085,22,4,5,1,55030,128666,1,1383.81,31,41,1,55015,1994,
11104,22,4,1,2,16000,121498,2,1194.4,27,41,7,16000,1994,
11103,22,4,1,2,11472,135404,2,1358.67,77,33,5,11472,1994,
11108,22,4,4,2,5856,147229,1,1430.72,30,36,7,5856,1994,
11106,22,4,1,2,15055,141985,2,1383.69,66,39,4,15055,1994,
11105,22,4,2,1,94000,128666,1,1356.93,40,43,1,66500,1994,
11109,22,4,2,2,3864,114203,1,1134.17,45,39,5,3864,1994,
11111,22,4,4,2,13592,73424,1,1454.06,24,39,6,13592,1994,
11116,22,4,2,1,3001,126605,1,1449.98,57,39,1,1501,1994,
11115,22,4,3,1,34056,126605,1,1279.12,59,39,1,1903,1994,
11117,22,4,3,1,87900,122891,1,1240.69,49,43,5,64500,1994,
11125,22,4,3,1,32230,126605,1,1449.98,57,39,1,24025,1994,
11124,22,4,2,1,18824,136347,1,1296.55,73,39,1,3592,1994,
11123,22,4,1,1,17926,121457,2,1234.85,77,35,4,17926,1994,
11122,22,4,2,2,2338,145951,1,1418.31,32,41,7,2338,1994,
11121,22,4,2,2,26050,142431,1,1415.17,41,40,5,26050,1994,
11120,22,4,2,2,41000,67101,2,1333.3,38,39,7,19000,1994,
11118,22,4,2,1,78793,132998,1,2271.57,61,39,1,57000,1994,
11126,22,4,1,1,27001,135551,2,1404.88,39,39,5,27001,1994,
56862,22,4,4,2,53393,106689,1,1086.61,42,44,1,40116,1994,
56863,22,4,2,1,32209,110561,1,1240.75,66,40,1,24642,1994,
56866,22,4,1,1,32215,115006,2,1163.42,64,40,5,32215,1994,
56865,22,4,2,1,58945,112081,1,1121.8,60,39,4,39921,1994,
56860,22,4,4,2,58000,130497,1,1351.49,32,39,1,58000,1994,
56859,22,4,3,2,23759,112182,1,1125.03,43,40,4,22129,1994,
56874,22,4,2,1,8642,112081,1,1312.79,63,39,1,8441,1994,
56873,22,4,4,1,60160,130497,1,1351.49,33,40,1,30040,1994,
56870,22,4,2,1,22986,110561,1,1003.47,78,34,1,18604,1994,
56871,22,4,2,1,62829,111105,1,1260.76,71,34,1,55744,1994,
56872,22,4,3,1,68750,130497,1,1351.49,31,39,1,33675,1994,
56875,22,4,1,1,5338,111105,2,1111.13,69,39,4,5338,1994,
56897,22,4,1,1,21000,116736,2,1175.92,58,39,4,21000,1994,
56898,22,4,2,1,40350,130497,1,1343.19,55,39,1,39500,1994,
56899,22,4,2,1,69800,115006,1,1240.75,67,43,1,36000,1994,
56901,22,4,4,1,56960,142832,1,1546.11,51,43,1,31960,1994,
56900,22,4,3,1,62733,146696,1,1462.16,43,39,1,17927,1994,
56905,22,4,2,1,26243,115006,1,1240.75,67,39,1,21476,1994,
56904,22,4,5,2,15085,127151,1,1278.76,49,40,6,15085,1994,
56903,22,4,3,1,38250,69028,1,0.0,32,42,1,1600,1994,
56906,22,4,3,1,36156,123718,1,1575.96,41,40,1,17003,1994,
56907,22,4,4,2,26200,123718,1,1224.43,35,39,7,26200,1994,
56909,22,4,1,1,9670,96853,2,1003.47,84,34,4,9670,1994,
56910,22,4,3,1,36502,116736,1,1343.19,55,44,1,19001,1994,
56886,22,4,5,1,45548,112735,1,1499.19,29,43,1,34024,1994,
56889,22,4,2,2,8000,115207,1,1160.04,23,39,7,8000,1994,
56888,22,4,1,2,30000,119463,2,1478.06,33,39,7,30000,1994,
56887,22,4,1,1,35830,117747,2,1230.24,36,39,7,35830,1994,
56890,22,4,2,2,25000,124801,1,1235.15,38,41,4,20000,1994,
56896,22,4,2,1,15444,111105,1,1111.13,68,39,4,11448,1994,
56895,22,4,2,2,673,112081,1,1117.95,62,44,1,673,1994,
56894,22,4,1,2,6549,105509,2,1063.05,81,37,4,6549,1994,
56893,22,4,1,2,9444,105509,2,1063.05,90,33,4,9444,1994,
56892,22,4,1,2,10994,125216,2,1260.76,70,39,5,10994,1994,
56891,22,4,1,2,12500,64211,2,1348.69,35,34,7,12500,1994,
56882,22,4,4,1,55981,130497,1,1230.24,36,41,1,45658,1994,
56881,22,4,3,1,25800,111453,1,1003.47,75,34,1,21500,1994,
56880,22,4,2,1,35160,116736,1,1416.67,68,45,1,35100,1994,
56878,22,4,5,1,110810,142832,1,1546.11,46,43,5,90000,1994,
56877,22,4,4,1,109138,139482,2,1499.19,29,43,7,35050,1994,
56883,22,4,4,2,47246,123753,1,1275.53,38,41,1,208,1994,
56879,22,4,2,1,53000,121126,1,1216.08,52,41,1,50000,1994,
56885,22,4,1,1,37000,123753,2,1275.53,38,44,7,37000,1994,
56884,22,4,3,1,126900,127151,1,1332.15,46,40,1,55451,1994,
56876,22,4,5,1,169188,127151,1,1216.32,50,43,1,103824,1994,
20221,22,4,1,2,60629,148097,2,1536.06,29,43,7,60629,1994,
20223,22,4,2,1,125677,140048,1,1439.83,35,40,1,106337,1994,
20222,22,4,2,1,26128,126718,1,1405.42,66,46,1,16194,1994,
20227,22,4,1,1,9737,120540,2,1193.9,82,37,4,9737,1994,
20226,22,4,2,1,42320,138740,1,1456.67,33,39,5,42285,1994,
20225,22,4,3,1,24467,140111,1,1405.42,66,39,1,16004,1994,
20224,22,4,3,2,3864,146861,1,1588.09,23,39,7,3864,1994,
20220,22,4,2,1,102800,138506,2,1439.83,39,43,5,70000,1994,
20228,22,4,3,1,37650,127074,1,1304.79,57,36,1,16439,1994,
20230,22,4,1,1,7400,102645,2,993.43,23,39,7,7400,1994,
20229,22,4,6,1,38064,162130,1,1124.08,55,36,1,5000,1994,
20233,22,4,3,1,100675,169721,1,1124.08,58,43,1,78575,1994,
20232,22,4,2,1,121937,127705,1,1304.79,58,41,1,103155,1994,
20231,22,4,4,1,50000,107727,1,1539.81,40,40,1,50000,1994,
20195,22,4,2,1,66000,267784,1,2253.46,60,39,1,49200,1994,
20219,22,4,4,1,78498,126718,1,1213.79,49,43,1,54401,1994,
20212,22,4,1,2,24448,138506,2,1439.83,39,35,7,24448,1994,
20214,22,4,1,2,28007,135991,2,1297.44,54,39,5,28007,1994,
20213,22,4,1,2,36010,139391,2,1383.91,22,39,7,36010,1994,
20218,22,4,4,1,115200,126718,1,1213.79,45,43,1,91100,1994,
20217,22,4,4,1,90100,126718,1,1213.79,47,42,1,60050,1994,
20216,22,4,4,1,70469,126718,1,1213.79,45,43,1,59404,1994,
20215,22,4,1,2,8372,124387,2,1270.66,78,35,4,8372,1994,
20211,22,4,8,1,83390,127074,1,1304.79,55,39,1,55170,1994,
20210,22,4,3,1,23316,124335,1,1213.79,45,39,4,20316,1994,
20209,22,4,4,1,63242,126718,1,1252.07,45,39,1,3205,1994,
20208,22,4,1,1,12411,134036,2,1328.12,72,39,5,12411,1994,
20207,22,4,3,1,31576,127705,1,1126.73,62,45,1,26028,1994,
20206,22,4,4,1,140905,126718,1,1126.73,60,45,1,100168,1994,
20196,22,4,2,1,18776,246410,1,2507.29,69,43,1,9634,1994,
20198,22,4,2,1,57590,255412,1,2544.6,56,39,1,22295,1994,
20197,22,4,2,1,59380,280223,1,2717.35,63,39,1,1340,1994,
20199,22,4,3,2,54326,320519,1,2912.76,28,39,1,32326,1994,
20201,22,4,3,1,130000,126718,1,1213.79,46,39,1,55000,1994,
20200,22,4,1,1,49400,253026,2,2464.31,35,39,7,49400,1994,
20204,22,4,2,1,24150,123204,1,1235.07,72,46,1,20675,1994,
20203,22,4,3,1,21002,127074,1,1297.44,53,36,1,13000,1994,
20202,22,4,4,1,84400,143303,1,1536.06,27,45,1,83000,1994,
66131,22,4,1,1,15296,113771,2,1166.27,72,41,4,15296,1994,
66141,22,4,6,2,7200,63239,1,1211.07,32,36,7,7200,1994,
66138,22,4,5,1,122661,122878,1,1315.94,43,39,1,64528,1994,
66126,22,4,1,1,30828,113771,2,1166.27,71,43,4,30828,1994,
66127,22,4,2,1,93200,52139,1,1005.87,28,43,1,37600,1994,
66128,22,4,2,1,43820,113771,1,1166.27,70,43,5,31638,1994,
66130,22,4,2,1,85454,126750,1,1315.94,43,43,1,45727,1994,
66129,22,4,4,1,86850,125527,1,1315.94,40,45,5,72500,1994,
66145,22,4,1,2,1780,64439,2,1304.13,48,37,4,1780,1994,
66143,22,4,1,2,5580,64439,2,1304.13,48,35,7,5580,1994,
66142,22,4,9,2,20996,105191,1,1414.53,26,37,1,20996,1994,
66147,22,4,4,1,31000,64792,1,0.0,36,39,1,18000,1994,
66146,22,4,4,1,29800,62813,1,0.0,40,40,1,27800,1994,
66121,22,4,2,1,42190,128046,1,1186.64,51,39,1,31970,1994,
66148,22,4,5,2,7056,54744,1,0.0,22,39,7,7056,1994,
66125,22,4,1,1,5716,113061,2,1144.2,82,34,4,5716,1994,
66124,22,4,2,1,17408,80462,1,1888.72,66,43,1,15940,1994,
66149,22,4,2,2,22944,64792,1,0.0,38,39,1,4944,1994,
66123,22,4,4,1,52795,122878,1,1254.66,40,39,1,470,1994,
66122,22,4,2,1,49592,124271,1,1360.15,24,40,1,38046,1994,
66150,22,4,4,1,49340,126750,1,1267.01,29,37,1,38500,1994,
66153,22,4,4,1,63840,126750,1,1315.94,44,43,1,30650,1994,
66166,22,4,4,3,86319,122878,1,1346.31,45,44,1,50000,1994,
66165,22,4,2,1,53868,147161,1,1481.9,64,44,5,38837,1994,
66155,22,4,3,1,62000,126750,1,1283.51,38,40,1,1650,1994,
66154,22,4,1,3,4435,125457,2,1290.0,21,42,7,4435,1994,
66164,22,4,3,1,35040,65840,1,0.0,52,39,1,20,1994,
66158,22,4,4,1,139762,135788,1,1394.96,59,39,1,17116,1994,
66156,22,4,3,1,47965,122951,1,1245.64,48,39,1,240,1994,
66163,22,4,1,1,40427,135788,2,1394.96,59,40,5,40427,1994,
66159,22,4,1,1,32236,109675,2,1101.01,68,40,5,32236,1994,
66162,22,4,2,1,32670,109675,1,1305.93,69,39,1,25798,1994,
66160,22,4,5,1,56848,122878,1,1315.94,40,39,1,25848,1994,
66161,22,4,2,1,14180,113771,1,1421.62,64,36,1,9958,1994,
66117,22,4,3,1,73425,122951,1,1346.31,48,39,1,35002,1994,
66119,22,4,2,1,31533,113771,1,1118.83,71,43,1,22053,1994,
66118,22,4,3,1,54295,128046,1,1287.01,51,39,5,42288,1994,
66120,22,4,4,1,88040,122951,1,1346.31,46,39,1,40010,1994,
66137,22,4,4,1,27511,126750,1,1354.6,34,39,1,14840,1994,
66136,22,4,2,1,47382,113771,1,1166.27,72,40,4,13382,1994,
66135,22,4,5,1,30062,62376,1,1274.61,29,40,1,30031,1994,
66134,22,4,1,1,36152,133106,2,1349.57,42,43,5,36152,1994,
66133,22,4,4,1,62000,122878,1,1315.94,40,39,1,36500,1994,
66132,22,4,2,1,162615,126750,1,1267.23,35,45,1,101307,1994,
29412,22,4,5,1,57131,106995,1,1077.13,41,43,1,9969,1994,
29409,22,4,3,1,67461,116484,1,1153.83,30,42,1,15,1994,
29411,22,4,4,1,40989,125027,1,1159.28,40,45,1,12808,1994,
29410,22,4,7,1,182180,119261,1,1237.27,47,44,1,61525,1994,
29393,22,4,1,1,5485,111602,2,1130.06,79,39,4,5485,1994,
29385,22,4,1,1,8400,136297,2,1423.61,26,35,7,8400,1994,
29389,22,4,1,1,11190,127317,2,1239.23,52,39,6,11190,1994,
29387,22,4,2,1,27512,124206,1,1219.73,67,34,1,23222,1994,
29390,22,4,1,1,4800,116676,2,1165.94,78,35,4,4800,1994,
29392,22,4,1,1,26982,126768,2,1275.38,68,39,4,26982,1994,
29391,22,4,1,1,23921,121964,2,1232.36,70,39,4,23921,1994,
29413,22,4,1,3,25417,124078,2,1295.75,39,39,7,25417,1994,
29421,22,4,2,1,19318,112837,1,1216.05,66,39,1,17239,1994,
29420,22,4,6,2,21338,108293,1,1093.75,45,37,1,0,1994,
29419,22,4,1,1,18645,110489,2,1114.79,61,39,4,18645,1994,
29418,22,4,2,1,30630,125027,1,1334.03,29,43,1,25030,1994,
29417,22,4,3,2,46646,63391,1,0.0,46,39,1,10323,1994,
29416,22,4,1,2,28000,121753,2,1281.81,30,39,7,28000,1994,
29415,22,4,1,2,32000,137867,2,1726.25,31,42,7,32000,1994,
29384,22,4,1,1,13603,127317,2,1239.23,50,46,5,13603,1994,
29394,22,4,3,1,30000,110489,1,1076.17,62,40,1,30000,1994,
29396,22,4,2,1,38975,121351,1,1151.39,63,39,1,10975,1994,
29395,22,4,2,1,74399,124886,1,1311.71,55,40,1,56813,1994,
29398,22,4,3,1,58200,124886,1,1076.17,61,40,1,14650,1994,
29397,22,4,2,1,50300,119261,1,1311.71,59,40,1,31250,1994,
29407,22,4,3,1,45500,125027,1,1224.01,36,39,1,5250,1994,
29408,22,4,4,1,88661,106995,1,1077.13,42,39,1,12113,1994,
29382,22,4,2,1,8400,121964,1,1232.36,74,33,4,4800,1994,
29383,22,4,6,1,55000,125027,1,1295.75,39,39,1,50000,1994,
29381,22,4,4,2,79576,125027,1,1224.01,39,39,5,28500,1994,
29380,22,4,4,1,70350,125027,1,1224.01,38,43,1,5150,1994,
29371,22,4,3,1,33800,126791,1,1320.61,22,40,1,24000,1994,
29372,22,4,1,1,54000,133320,2,1310.47,29,43,7,54000,1994,
29373,22,4,2,2,62919,128709,2,1334.03,28,44,7,36000,1994,
29375,22,4,3,2,36200,116484,1,1295.75,35,45,1,36100,1994,
29374,22,4,5,1,110499,125027,1,1295.75,36,43,1,99999,1994,
29379,22,4,5,1,85700,116484,1,1153.83,33,44,1,5100,1994,
29378,22,4,4,1,95800,116484,1,1295.75,38,39,1,86700,1994,
29377,22,4,4,1,61600,106995,1,1077.13,40,43,1,19050,1994,
29403,22,4,2,1,24755,126768,1,1280.11,69,39,1,20212,1994,
29400,22,4,2,1,39302,122086,1,1151.39,63,39,1,39302,1994,
29402,22,4,4,1,47838,116484,1,1295.75,39,40,1,43819,1994,
29406,22,4,6,1,43772,106995,1,1237.27,47,36,1,27250,1994,
29405,22,4,2,1,13972,112612,1,1130.06,76,39,1,9762,1994,
38466,22,4,5,1,67000,127543,1,1351.17,37,39,1,38500,1994,
38465,22,4,5,1,13001,117509,1,1319.74,42,46,1,12500,1994,
38447,22,4,3,1,27760,121678,1,1232.82,43,40,5,24400,1994,
38463,22,4,2,1,41350,126163,1,1199.28,54,37,1,29175,1994,
38462,22,4,3,1,72400,119929,1,1226.38,61,40,1,55100,1994,
38461,22,4,1,1,19963,117960,2,1311.0,66,44,7,19963,1994,
38460,22,4,3,1,1500,132418,1,1354.19,24,39,6,1500,1994,
38468,22,4,3,1,69292,106113,1,1311.0,65,36,1,36106,1994,
38469,22,4,4,1,48021,126163,1,1182.04,49,37,1,10000,1994,
38449,22,4,2,1,40842,127543,1,1316.12,37,39,1,12000,1994,
38474,22,4,3,1,48101,127543,1,1319.74,43,41,1,47201,1994,
38458,22,4,2,1,90400,114615,2,1209.17,32,43,7,75200,1994,
38457,22,4,2,1,85650,127543,1,1316.12,35,42,1,13575,1994,
38456,22,4,3,1,111000,126794,1,1246.66,28,40,1,36000,1994,
38455,22,4,4,1,66000,117509,1,1188.92,54,44,1,53000,1994,
38454,22,4,4,1,95074,126163,1,1182.04,46,39,1,67037,1994,
38453,22,4,3,1,139999,121678,1,1319.74,40,43,1,110999,1994,
38452,22,4,4,1,102060,127543,1,1351.17,35,44,1,87540,1994,
38459,22,4,5,1,27524,126794,1,1246.66,29,36,1,27512,1994,
38473,22,4,2,1,10058,106113,1,1196.04,72,39,1,7308,1994,
38472,22,4,3,1,136000,124501,1,1691.47,68,43,1,34500,1994,
38478,22,4,6,1,67000,127543,1,1319.74,40,39,1,25000,1994,
38477,22,4,3,1,82500,127543,1,1351.17,39,43,1,82500,1994,
38476,22,4,3,1,84724,151901,1,1338.44,42,43,1,43404,1994,
38475,22,4,4,1,55346,121678,1,1319.74,44,41,1,38923,1994,
38480,22,4,5,1,70548,127543,1,1351.17,37,44,1,70274,1994,
38481,22,4,2,1,51585,126163,1,1319.74,41,42,1,51585,1994,
38483,22,4,3,1,73400,126794,1,1209.17,30,43,1,43200,1994,
38482,22,4,2,1,17193,116803,1,1198.0,70,39,1,5623,1994,
38479,22,4,3,1,70641,127543,1,1182.04,45,43,1,40558,1994,
38485,22,4,4,1,59326,119929,1,1177.09,57,39,1,33988,1994,
38484,22,4,3,1,53731,121678,1,1182.04,47,43,1,11035,1994,
38502,22,4,3,1,49282,120216,1,1199.28,52,39,5,32230,1994,
38489,22,4,2,1,20450,125764,2,1319.74,41,39,5,1950,1994,
38505,22,4,1,2,10320,114041,2,1196.04,72,34,5,10320,1994,
38503,22,4,3,2,27714,132418,1,1354.19,21,37,7,8474,1994,
38506,22,4,5,1,62236,106435,1,946.23,53,43,1,58000,1994,
38488,22,4,3,2,66000,117509,1,1199.28,54,33,1,26000,1994,
38487,22,4,2,1,62000,119929,1,1177.09,57,39,1,32500,1994,
38486,22,4,2,2,55038,119929,1,1322.66,63,36,1,32869,1994,
38499,22,4,4,2,84220,110906,1,1209.17,34,46,1,82220,1994,
38500,22,4,2,1,22008,106113,1,1196.04,70,40,1,13658,1994,
38501,22,4,6,1,67050,124501,1,1260.39,64,40,4,1000,1994,
38498,22,4,2,1,23200,124501,1,1239.26,76,38,1,15000,1994,
38497,22,4,4,1,80400,117509,1,1188.92,52,39,1,11500,1994,
38495,22,4,1,1,61500,112035,2,1177.09,57,40,4,61500,1994,
38490,22,4,1,1,10412,121031,2,1225.78,77,39,4,10412,1994,
38491,22,4,1,2,10325,116803,2,1198.0,74,35,4,10325,1994,
38493,22,4,2,1,29000,116803,1,1198.0,74,38,1,500,1994,
38492,22,4,2,1,33962,121031,1,1239.26,86,42,1,21531,1994,
38494,22,4,3,1,92012,117509,1,1188.92,54,43,1,29685,1994,
1415,22,4,2,1,104343,140107,1,1684.35,60,43,1,54843,1994,
1417,22,4,3,1,22819,79974,1,1689.57,37,40,5,22819,1994,
1416,22,4,4,1,66404,150904,1,1524.67,34,39,1,4732,1994,
1449,22,4,3,1,109817,140107,1,1411.43,52,45,7,82200,1994,
1448,22,4,2,1,23848,140107,1,1497.73,58,39,1,23748,1994,
1447,22,4,3,2,48650,165528,1,1671.07,29,39,1,0,1994,
1446,22,4,2,1,56861,150826,1,1542.93,26,45,1,15460,1994,
1444,22,4,3,2,9300,148641,1,1869.79,23,39,7,9300,1994,
1443,22,4,5,2,9406,134344,1,1384.81,39,35,7,5110,1994,
1442,22,4,6,2,11108,194755,1,1986.25,33,37,6,11108,1994,
1441,22,4,3,2,18300,70498,1,0.0,40,39,7,6300,1994,
1438,22,4,3,1,27760,134344,1,1384.81,39,38,1,6760,1994,
1436,22,4,5,1,52100,113358,1,1171.45,39,43,1,40050,1994,
1433,22,4,3,1,75960,140107,1,1497.73,57,43,1,25980,1994,
1432,22,4,2,1,21993,132071,1,1568.19,72,39,1,17570,1994,
1431,22,4,1,1,20400,145126,2,1515.56,57,39,4,20400,1994,
1430,22,4,4,1,52250,167424,2,1743.61,24,42,7,28050,1994,
1428,22,4,4,1,106986,150088,1,1557.1,63,39,4,593,1994,
1426,22,4,2,1,41132,145900,1,1484.11,76,40,1,18891,1994,
1425,22,4,2,1,71011,149591,1,1549.73,42,40,7,58072,1994,
1424,22,4,2,1,37529,144257,1,1477.31,29,43,1,24429,1994,
1423,22,4,2,1,23646,145900,1,1501.12,82,34,1,20646,1994,
1422,22,4,2,1,88892,145900,1,1484.11,75,39,4,33721,1994,
1421,22,4,2,1,37728,146105,1,1497.73,58,39,1,23364,1994,
1420,22,4,4,1,20728,147488,1,1549.73,40,39,1,20189,1994,
1419,22,4,5,1,107520,146105,1,1457.44,50,39,1,33000,1994,
1418,22,4,4,1,17800,146105,1,1477.86,45,40,1,0,1994,
1453,22,4,5,1,82020,149942,1,1521.85,38,39,1,25010,1994,
